Date,Open,High,Low,Close,Adj Close,Volume
2018-10-04,151.690002,152.800003,150.360001,151.309998,151.309998,4237900
2018-10-05,150.899994,151.789993,147.869995,149.029999,149.029999,4602200
2018-10-08,148.500000,149.070007,147.179993,148.389999,148.389999,3239300
2018-10-09,148.080002,148.360001,146.929993,147.240005,147.240005,3642400
2018-10-10,147.500000,147.690002,142.500000,142.690002,142.690002,5547700
2018-10-11,142.619995,144.190002,138.779999,139.020004,139.020004,8710500
2018-10-12,141.119995,141.539993,139.080002,140.850006,140.850006,6563400
2018-10-15,140.380005,142.259995,140.139999,141.130005,141.130005,4965500
2018-10-16,142.929993,145.449997,141.580002,145.119995,145.119995,8695500
2018-10-17,135.889999,137.149994,133.419998,134.050003,134.050003,19464000
2018-10-18,132.729996,133.399994,130.039993,130.550003,130.550003,10011700
2018-10-19,130.649994,131.889999,127.959999,129.100006,129.100006,7791600
2018-10-22,129.580002,130.440002,128.399994,130.020004,130.020004,5719500
2018-10-23,129.020004,131.899994,128.410004,131.210007,131.210007,6463600
2018-10-24,131.169998,131.690002,127.000000,127.209999,127.209999,5710300
2018-10-25,127.250000,127.790001,125.139999,126.449997,126.449997,10304300
2018-10-26,125.209999,125.779999,123.709999,124.790001,124.790001,8767000
2018-10-29,119.339996,123.949997,118.300003,119.639999,119.639999,20450400
2018-10-30,120.480003,121.500000,115.150002,115.400002,115.400002,21458600
2018-10-31,116.489998,116.500000,114.089996,115.430000,115.430000,21645000
2018-11-01,115.500000,117.000000,115.110001,116.830002,116.830002,13626700
2018-11-02,117.510002,117.750000,114.540001,115.669998,115.669998,10587400
